,Id,SalePrice
0,1461,118422.02
1,1462,164599.56
2,1463,189005.52
3,1464,199575.13
4,1465,186108.45
5,1466,171109.94
6,1467,176316.85
7,1468,166179.86
8,1469,192941.18
9,1470,122726.29
10,1471,179461.2
11,1472,94438.82
12,1473,95559.64
13,1474,150627.67
14,1475,118060.32
15,1476,363360.19
16,1477,249171.46
17,1478,292383.4
18,1479,287366.94
19,1480,465367.49
20,1481,334687.45
21,1482,209595.95
22,1483,176267.09
23,1484,162224.39
24,1485,181819.41
25,1486,190317.72
26,1487,331061.6
27,1488,235732.16
28,1489,198658.06
29,1490,230861.63
30,1491,193630.65
31,1492,88706.45
32,1493,198566.77
33,1494,297507.82
34,1495,293033.61
35,1496,237325.4
36,1497,179127.85
37,1498,168297.98
38,1499,164517.16
39,1500,156229.78
40,1501,178694.34
41,1502,138498.96
42,1503,301400.57
43,1504,237830.74
44,1505,227256.17
45,1506,192147.55
46,1507,250645.91
47,1508,202706.26
48,1509,167507.81
49,1510,149399.89
50,1511,149934.35
51,1512,172071.68
52,1513,142656.8
53,1514,156526.36
54,1515,192548.48
55,1516,156952.86
56,1517,166931.86
57,1518,132347.9
58,1519,216376.52
59,1520,130525.48
60,1521,137729.0
61,1522,179586.43
62,1523,112294.22
63,1524,123371.16
64,1525,123631.62
65,1526,116788.84
66,1527,105899.42
67,1528,134428.88
68,1529,154214.24
69,1530,183045.52
70,1531,103981.51
71,1532,96814.37
72,1533,143644.1
73,1534,120335.16
74,1535,153675.05
75,1536,107638.34
76,1537,61248.51
77,1538,160457.44
78,1539,192676.73
79,1540,88036.6
80,1541,148015.2
81,1542,137166.39
82,1543,206889.91
83,1544,78106.85
84,1545,110639.27
85,1546,129678.9
86,1547,129153.74
87,1548,135057.06
88,1549,110482.7
89,1550,133743.73
90,1551,112077.95
91,1552,132614.07
92,1553,149698.27
93,1554,115525.59
94,1555,167285.23
95,1556,79741.08
96,1557,113008.91
97,1558,96862.03
98,1559,76475.25
99,1560,128451.5
100,1561,131949.31
101,1562,127662.6
102,1563,121751.77
103,1564,152804.37
104,1565,154462.69
105,1566,245468.69
106,1567,79100.85
107,1568,237111.77
108,1569,128969.47
109,1570,132512.56
110,1571,115154.35
111,1572,145927.76
112,1573,256543.75
113,1574,111029.5
114,1575,231852.69
115,1576,231515.95
116,1577,185464.27
117,1578,152437.7
118,1579,147277.91
119,1580,193924.62
120,1581,148917.17
121,1582,128932.06
122,1583,302715.46
123,1584,218354.18
124,1585,141390.56
125,1586,71874.44
126,1587,108182.56
127,1588,151426.8
128,1589,99561.39
129,1590,129616.17
130,1591,94028.75
131,1592,119639.24
132,1593,132177.81
133,1594,125049.92
134,1595,102867.82
135,1596,228559.23
136,1597,189195.24
137,1598,218889.37
138,1599,176156.16
139,1600,163702.23
140,1601,65772.1
141,1602,112716.72
142,1603,71427.9
143,1604,264262.71
144,1605,239830.62
145,1606,167659.24
146,1607,168432.48
147,1608,208531.58
148,1609,183525.69
149,1610,153683.51
150,1611,136535.43
151,1612,170117.38
152,1613,163094.74
153,1614,124604.77
154,1615,89142.17
155,1616,76512.74
156,1617,89948.31
157,1618,126959.85
158,1619,141773.45
159,1620,148235.52
160,1621,139246.76
161,1622,139147.53
162,1623,261563.73
163,1624,206969.35
164,1625,120421.16
165,1626,168197.23
166,1627,190615.71
167,1628,281600.4
168,1629,184121.49
169,1630,349987.58
170,1631,227231.58
171,1632,242435.81
172,1633,165659.27
173,1634,187595.09
174,1635,179085.54
175,1636,153190.8
176,1637,204452.82
177,1638,196127.84
178,1639,187040.07
179,1640,260235.36
180,1641,182380.52
181,1642,232424.96
182,1643,226166.54
183,1644,236710.33
184,1645,198223.26
185,1646,158670.09
186,1647,159843.5
187,1648,133498.62
188,1649,135081.19
189,1650,115749.45
190,1651,120615.1
191,1652,97065.66
192,1653,99477.06
193,1654,150035.08
194,1655,146796.98
195,1656,145730.38
196,1657,153129.57
197,1658,144435.05
198,1659,128553.59
199,1660,154296.23
200,1661,428474.69
201,1662,390015.05
202,1663,390298.55
203,1664,479232.65
204,1665,301476.55
205,1666,312080.69
206,1667,388821.43
207,1668,327033.68
208,1669,302948.23
209,1670,345804.36
210,1671,260311.01
211,1672,411170.8
212,1673,297141.86
213,1674,242317.08
214,1675,193174.72
215,1676,193775.46
216,1677,222600.95
217,1678,455593.62
218,1679,397143.61
219,1680,324723.28
220,1681,248928.45
221,1682,323041.31
222,1683,177766.54
223,1684,173190.39
224,1685,174288.73
225,1686,168683.33
226,1687,161673.63
227,1688,188664.87
228,1689,191270.4
229,1690,196441.15
230,1691,180784.74
231,1692,265773.35
232,1693,166446.59
